"mean" "sd" "tol"
"138" 0.0152038044199147 0.000684490701327922 1e-04
"139" 0.00136515965851219 -0.00617427048942243 1e-04
"140" -0.00774295641150932 -0.0202202057266819 1e-04
"141" 0.0165867820323182 0.000824963914099253 1e-04
"142" -0.0063603555887593 0.025683898115061 1e-04
"143" 0.0222259188604082 -0.0014178500021933 1e-04
"144" -0.00979496660398183 0.00645981524069539 1e-04
"145" 0.00136499328449011 -0.0139478173504207 1e-04
"146" -0.0167129797842968 0.0116144208079099 1e-04
"147" 0.00784533622829067 -0.0205350702940122 1e-04
"148" -0.00820119259348182 -0.000347986764051345 1e-04
"149" -0.000930616714574312 -0.00819335643257191 1e-04
"150" -0.000862800318709306 -0.0141662830408517 1e-04
"151" -0.00813637556467181 0.00257916192499308 1e-04
"152" 0.0153604724671857 -0.015428327694788 1e-04
"153" 0.0181004461948307 -0.021747258950397 1e-04
"154" 0.00737346854114518 -0.0256960020012076 1e-04
"155" 0.0253793546361257 -0.00705784647386209 1e-04
"156" -0.0224129804672618 0.0133507297753579 1e-04
"157" -0.0207049407936308 -0.0215919815594193 1e-04
"158" -0.00960208950188232 -0.00280030254077379 1e-04
"159" -0.0079504865978193 0.00822931628830159 1e-04
"160" 0.00544412382210069 -0.0132216164287988 1e-04
"161" 0.00458662129283194 0.00887787394120465 1e-04
"162" -0.0159434179424793 -0.0115013845493683 1e-04
"163" 0.0137105713219382 -0.0109204175205033 1e-04
"164" -0.0142109335886131 -0.0110291460511994 1e-04
"165" 0.00391638968093069 -0.0123530099761135 1e-04
"166" -0.0015183092636718 -0.0190907380860192 1e-04
"167" -0.00025251712035182 -0.00261763979713814 1e-04
"168" 0.00580945220038995 0.0214853918532972 1e-04
"169" 0.00464494695728818 -0.0155637868027475 1e-04
"170" 0.0339517276008707 0.00415835524756425 1e-04
"171" 0.0146083055414024 0.00366934608340486 1e-04
"172" 0.0018338508042107 -0.00395568068700192 1e-04
"173" -0.00203901918243682 -0.00218678442120757 1e-04
"174" 0.00979051028245068 -0.0128694131685546 1e-04
"175" -0.00390615300780431 -0.00399928910169811 1e-04
"176" -0.0176368637823618 -0.0186975251233988 1e-04
